label,rank,token,total_score,count,avg_score
sadness,1,feel,2.854117453098297,5,0.5708234906196594
sadness,2,ashamed,0.9990852475166321,1,0.9990852475166321
sadness,3,pathetic,0.9925186038017273,2,0.49625930190086365
sadness,4,anything,0.7346291542053223,1,0.7346291542053223
sadness,5,home,0.586948037147522,1,0.586948037147522
sadness,6,stander,0.5385081768035889,1,0.5385081768035889
sadness,7,worthless,0.5037434101104736,1,0.5037434101104736
sadness,8,discontent,0.48774927854537964,1,0.48774927854537964
sadness,9,humiliated,0.3864254355430603,1,0.3864254355430603
sadness,10,guilty,0.3226166069507599,1,0.3226166069507599
sadness,11,lonley,0.3165549039840698,1,0.3165549039840698
sadness,12,accepting,0.2633415162563324,1,0.2633415162563324
sadness,13,embarrassed,0.25901341438293457,1,0.25901341438293457
sadness,14,myself,0.24749061465263367,1,0.24749061465263367
sadness,15,will,0.23383741080760956,2,0.11691870540380478
joy,1,feel,2.8216843605041504,2,1.4108421802520752
joy,2,feeling,2.7968015670776367,3,0.9322671890258789
joy,3,november,1.0494964122772217,1,1.0494964122772217
joy,4,myself,0.8411077260971069,1,0.8411077260971069
joy,5,about,0.7965631484985352,1,0.7965631484985352
joy,6,enough,0.6424740552902222,1,0.6424740552902222
joy,7,ecstatic,0.5614868402481079,1,0.5614868402481079
joy,8,one,0.5332787036895752,1,0.5332787036895752
joy,9,privileged,0.46272724866867065,1,0.46272724866867065
joy,10,thrilled,0.4146994948387146,1,0.4146994948387146
joy,11,don,0.4047066867351532,1,0.4047066867351532
joy,12,already,0.3569059669971466,1,0.3569059669971466
joy,13,gestating,0.34273961186408997,1,0.34273961186408997
joy,14,well,0.3312080204486847,1,0.3312080204486847
joy,15,pretty,0.3076161891222,2,0.1538080945611
love,1,tender,4.2076497077941895,1,4.2076497077941895
love,2,nostalgic,1.7042216658592224,2,0.8521108329296112
love,3,feel,1.678880214691162,2,0.839440107345581
love,4,loved,1.6072055622935295,2,0.8036027811467648
love,5,feeling,1.4496109038591385,3,0.48320363461971283
love,6,loving,0.9220526218414307,1,0.9220526218414307
love,7,just,0.8239736370742321,4,0.20599340926855803
love,8,found,0.801017165184021,1,0.801017165184021
love,9,want,0.5941716134548187,2,0.29708580672740936
love,10,wars,0.4719317555427551,1,0.4719317555427551
love,11,bishop,0.4656532406806946,1,0.4656532406806946
love,12,myself,0.42227011919021606,1,0.42227011919021606
love,13,abandoned,0.3152230978012085,1,0.3152230978012085
love,14,know,0.2349156141281128,1,0.2349156141281128
love,15,about,0.2003607228398323,2,0.10018036141991615
anger,1,pissed,3.2461243271827698,3,1.0820414423942566
anger,2,bitter,2.021365165710449,1,2.021365165710449
anger,3,cranky,1.6361522674560547,1,1.6361522674560547
anger,4,feel,0.9468027949333191,2,0.47340139746665955
anger,5,appointment,0.9108631610870361,1,0.9108631610870361
anger,6,one,0.7983040809631348,1,0.7983040809631348
anger,7,off,0.6113810837268829,3,0.20379369457562765
anger,8,more,0.476985901594162,1,0.476985901594162
anger,9,after,0.41102564334869385,1,0.41102564334869385
anger,10,particularly,0.3793286979198456,1,0.3793286979198456
anger,11,time,0.32967609167099,1,0.32967609167099
anger,12,feeling,0.3182559907436371,3,0.10608533024787903
anger,13,negative,0.29496169090270996,1,0.29496169090270996
anger,14,really,0.24487146735191345,2,0.12243573367595673
anger,15,about,0.22675946354866028,1,0.22675946354866028
fear,1,feeling,1.2971606999635696,3,0.43238689998785657
fear,2,feel,1.1315706372261047,2,0.5657853186130524
fear,3,lost,0.8835472464561462,1,0.8835472464561462
fear,4,scared,0.8595104217529297,1,0.8595104217529297
fear,5,insecure,0.7783925533294678,1,0.7783925533294678
fear,6,about,0.7319663166999817,1,0.7319663166999817
fear,7,very,0.7045440077781677,1,0.7045440077781677
fear,8,now,0.6956455707550049,1,0.6956455707550049
fear,9,fearful,0.6528587937355042,1,0.6528587937355042
fear,10,uncertain,0.5384387969970703,1,0.5384387969970703
fear,11,anything,0.4864194393157959,1,0.4864194393157959
fear,12,sensitive,0.3426467776298523,1,0.3426467776298523
fear,13,anxious,0.3108276426792145,2,0.15541382133960724
fear,14,worried,0.30157408118247986,1,0.30157408118247986
fear,15,not,0.2957196831703186,1,0.2957196831703186
surprise,1,shocked,5.284201622009277,2,2.6421008110046387
surprise,2,curious,2.0364805459976196,2,1.0182402729988098
surprise,3,sad,1.6961171627044678,1,1.6961171627044678
surprise,4,diseases,0.9153738021850586,1,0.9153738021850586
surprise,5,amazing,0.8232797980308533,1,0.8232797980308533
surprise,6,many,0.8185379505157471,1,0.8185379505157471
surprise,7,feeling,0.6170248538255692,2,0.3085124269127846
surprise,8,about,0.6114844456315041,2,0.30574222281575203
surprise,9,threatening,0.556286096572876,1,0.556286096572876
surprise,10,fact,0.46077513694763184,1,0.46077513694763184
surprise,11,sick,0.34377747774124146,1,0.34377747774124146
surprise,12,words,0.2957126498222351,1,0.2957126498222351
surprise,13,related,0.2802158296108246,1,0.2802158296108246
surprise,14,enough,0.270931601524353,1,0.270931601524353
surprise,15,feel,0.2589138373732567,3,0.08630461245775223
