label,direction,rank,feature,coefficient
sadness,positive,1,melancholy,4.342497904397626
sadness,positive,2,miserable,4.232859547582188
sadness,positive,3,lethargic,4.168758890787432
sadness,positive,4,awkward,4.1454423713630435
sadness,positive,5,punished,4.090341073539294
sadness,positive,6,exhausted,4.053771873452408
sadness,positive,7,unwelcome,4.003676207729218
sadness,positive,8,dull,3.980983476949842
sadness,positive,9,shitty,3.963643150505761
sadness,positive,10,low,3.960557322454354
sadness,positive,11,gloomy,3.9443990897603207
sadness,positive,12,disturbed,3.9159538107948166
sadness,positive,13,discouraged,3.914304532955639
sadness,positive,14,devastated,3.9014017726976493
sadness,positive,15,troubled,3.8990665885376012
sadness,positive,16,regretful,3.879991484226773
sadness,positive,17,fake,3.846415082011134
sadness,positive,18,pathetic,3.8378604075011142
sadness,positive,19,missed,3.7999681682699684
sadness,positive,20,aching,3.7853038049259493
sadness,negative,1,strange,-3.894444004702735
sadness,negative,2,overwhelmed,-3.3009525266252187
sadness,negative,3,weird,-3.2150750705495885
sadness,negative,4,amazed,-2.9165002254288583
sadness,negative,5,sweet,-2.8475097885206315
sadness,negative,6,amazing,-2.7652145534346104
sadness,negative,7,surprised,-2.7375749418384414
sadness,negative,8,agitated,-2.693834887583486
sadness,negative,9,shocked,-2.6927642913434577
sadness,negative,10,impressed,-2.585794206669997
sadness,negative,11,curious,-2.5124556657067263
sadness,negative,12,accepted,-2.511813989219502
sadness,negative,13,tortured,-2.4741952394375186
sadness,negative,14,supporting,-2.462649461851567
sadness,negative,15,funny,-2.3885604531221367
sadness,negative,16,dazed,-2.33891145574731
sadness,negative,17,naughty,-2.187028646658383
sadness,negative,18,nostalgic,-2.1290689574305213
sadness,negative,19,loving,-2.11300139107478
sadness,negative,20,shaken,-2.050242408096378
joy,positive,1,successful,3.904333127207415
joy,positive,2,pleasant,3.7503397205489697
joy,positive,3,innocent,3.6753778210879453
joy,positive,4,glad,3.586466026208873
joy,positive,5,satisfied,3.5740636844047455
joy,positive,6,sincere,3.5547286101362205
